title,stars,reviews,price,price_tier,category_name,engagement,KU Status,Bestseller,Editors Pick,Goodreads Choice
"It Starts with the Egg: How the Science of Egg Quality Can Help You Get Pregnant Naturally, Prevent Miscarriage, and Improve Your Odds in IVF",4.7,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,Yes,No,No
"The Girls Are Gone: The True Story of Two Sisters Who Vanished, the Father Who Kept Searching, and the Adults Who Conspired to Keep the Truth Hidden",3.9,0,0.0,Free,Parenting & Relationships,No Reviews,Paid,Yes,No,No
What to Expect When You're Expecting,4.8,0,11.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
No More Mr. Nice Guy,4.6,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
The Color of Water,4.6,0,12.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
Oh Crap! Potty Training: Everything Modern Parents Need to Know to Do It Once and Do It Right (Oh Crap Parenting Book 1),4.5,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
"Polysecure: Attachment, Trauma and Consensual Nonmonogamy",4.7,0,10.49,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
Beyond the Game: A Surprise Pregnancy Sports Romance (Chicago Red Tails Book 3),4.2,0,4.99,Under $5,Parenting & Relationships,No Reviews,Kindle Unlimited,Yes,No,No
Vax-Unvax: Let the Science Speak (Children’s Health Defense),4.7,0,16.99,Over $15,Parenting & Relationships,No Reviews,Paid,No,No,No
Why Does He Do That?: Inside the Minds of Angry and Controlling Men,4.7,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
"Hunt, Gather, Parent: What Ancient Cultures Can Teach Us About the Lost Art of Raising Happy, Helpful Little Humans",4.7,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
Happy-Go-Lucky,4.6,0,11.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,Yes,No
Duma Key: A Novel,4.5,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,Yes,No
Scattered Minds: The Origins and Healing of Attention Deficit Disorder,4.7,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
"Birdie & Harlow: Life, Loss, and Loving My Dog So Much I Didn't Want Kids (…Until I Did)",5.0,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
It Starts with Us: the highly anticipated sequel to IT ENDS WITH US,4.5,0,0.0,Free,Parenting & Relationships,No Reviews,Paid,No,Yes,No
It Ends With Us: The emotional #1 Sunday Times bestseller,4.7,0,0.0,Free,Parenting & Relationships,No Reviews,Paid,No,No,Yes
Spilled Milk: Based On A True Story,4.7,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Kindle Unlimited,No,No,No
Precious Little Sleep - Second Edition: The Complete Baby Sleep Guide for Modern Parents,4.6,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
"The Explosive Child [Sixth Edition]: A New Approach for Understanding and Parenting Easily Frustrated, Chronically Inflexible Children",4.7,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Kindle Unlimited,Yes,No,No
"The Daily Dad: 366 Meditations on Parenting, Love, and Raising Great Kids",4.8,0,15.99,Over $15,Parenting & Relationships,No Reviews,Paid,No,No,No
Habits of the Household: Practicing the Story of God in Everyday Family Rhythms,4.8,0,7.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
ADHD 2.0: New Science and Essential Strategies for Thriving with Distraction--from Childhood through Adulthood,4.7,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,Yes,No,No
"The Emotional Lives of Teenagers: Raising Connected, Capable, and Compassionate Adolescents",4.7,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
The Off Limits Rule: A Romantic Comedy (It Happened in Nashville Book 1),4.2,0,4.99,Under $5,Parenting & Relationships,No Reviews,Paid,No,No,No
How to Talk so Little Kids Will Listen: A Survival Guide to Life with Children Ages 2-7 (The How To Talk Series),4.7,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
"Men Are from Mars, Women Are from Venus: The Classic Guide to Understanding the Opposite Sex",4.6,0,14.49,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
Bringing Up Bébé: One American Mother Discovers the Wisdom of French Parenting (now with Bébé Day by Day: 100 Keys to French Parenting),4.7,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,Yes,No
The State of Affairs: Rethinking Infidelity,4.6,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
"The Bullet Journal Method: Track the Past, Order the Present, Design the Future",4.6,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
"Raising Good Humans: A Mindful Guide to Breaking the Cycle of Reactive Parenting and Raising Kind, Confident Kids",4.7,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
Lost in Trans Nation: A Child Psychiatrist's Guide Out of the Madness,4.7,0,16.99,Over $15,Parenting & Relationships,No Reviews,Paid,No,No,No
Eight Dates: Essential Conversations for a Lifetime of Love,4.7,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
Unoffendable: How Just One Change Can Make All of Life Better (updated with two new chapters),4.8,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
Anne Of Green Gables Complete 8 Book Set,4.8,0,1.99,Under $5,Parenting & Relationships,No Reviews,Paid,Yes,No,No
"Unsafe: Damian longs for home, but one man stands in his way",4.7,0,2.99,Under $5,Parenting & Relationships,No Reviews,Paid,No,No,No
When the Body Says No,4.7,0,13.97,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
What to Expect the First Year,4.8,0,11.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
Real Food for Pregnancy: The Science and Wisdom of Optimal Prenatal Nutrition,4.7,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,Yes,No,No
Love Your Kids Without Losing Yourself: 5 Steps to Banish Guilt and Beat Burnout When You Already Have Too Much to Do,4.5,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
Untangled: Guiding Teenage Girls Through the Seven Transitions into Adulthood,4.7,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
What About Men?: A Feminist Answers the Question,4.2,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
The Holiday Home: A completely unputdownable and addictive psychological thriller,3.9,0,3.99,Under $5,Parenting & Relationships,No Reviews,Kindle Unlimited,No,No,No
Drama Free: A Guide to Managing Unhealthy Family Relationships,4.8,0,15.99,Over $15,Parenting & Relationships,No Reviews,Paid,No,Yes,No
Unspeakable: Surviving My Childhood and Finding My Voice,4.8,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
The Pale-Faced Lie: A True Story,4.5,0,5.99,$5-$10,Parenting & Relationships,No Reviews,Kindle Unlimited,No,No,No
Driven to Distraction (Revised): Recognizing and Coping with Attention Deficit Disorder,4.7,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
How to Talk So Kids Will Listen & Listen So Kids Will Talk (The How To Talk Series),4.7,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
How Not to Hate Your Husband After Kids,4.6,0,11.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
The 36-Hour Day: A Family Guide to Caring for People Who Have Alzheimer Disease and Other Dementias (A Johns Hopkins Press Health Book),4.8,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
No-Drama Discipline: The Whole-Brain Way to Calm the Chaos and Nurture Your Child's Developing Mind,4.7,0,12.99,$10-$15,Parenting & Relationships,No Reviews,Paid,Yes,No,No
The Match: A Romantic Comedy (It happened in Charleston Book 1),4.4,0,4.99,Under $5,Parenting & Relationships,No Reviews,Paid,No,No,No
"Walking with Sam: A Father, a Son, and Five Hundred Miles Across Spain",4.6,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,Yes,No
The Unexpected Joy of Being Sober: THE SUNDAY TIMES BESTSELLER,4.7,0,6.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
"The Boy Who Was Raised as a Dog: And Other Stories from a Child Psychiatrist's Notebook -- What Traumatized Children Can Teach Us About Loss, Love, and Healing",4.8,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
"Look for Me There: Grieving My Father, Finding Myself",4.5,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
"Recovery from Narcissistic Abuse, Gaslighting, Codependency and Complex PTSD (4 Books in 1): Workbook and Guide to Overcome Trauma, Toxic Relationships, ... and Recover from Unhealthy Relationships)",4.7,0,6.99,$5-$10,Parenting & Relationships,No Reviews,Kindle Unlimited,Yes,No,No
Love and Respect: The Love She Most Desires; The Respect He Desperately Needs,4.7,0,15.99,Over $15,Parenting & Relationships,No Reviews,Paid,No,No,No
"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures (FSG Classics)",4.6,0,11.99,$10-$15,Parenting & Relationships,No Reviews,Kindle Unlimited,No,No,No
I Don't Want to Talk About It: Overcoming the Secret Legacy of Male Depression,4.6,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
Made For You: A grumpy sunshine sports romance. (Made For Series 2),4.7,0,4.99,Under $5,Parenting & Relationships,No Reviews,Kindle Unlimited,No,No,No
In the Dream House: A Memoir,4.5,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Kindle Unlimited,No,Yes,No
Hold On to Your Kids: Why Parents Need to Matter More Than Peers,4.7,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
The Charisma Myth: How Anyone Can Master the Art and Science of Personal Magnetism,4.5,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
"The Witch's Tree: An unforgettable, heart-breaking, gripping timeslip novel",4.6,0,2.99,Under $5,Parenting & Relationships,No Reviews,Kindle Unlimited,No,No,No
The Worry-Free Parent: Living in Confidence So Your Kids Can Too,5.0,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
BELIEVE LIKE A CHILD (Home Street Home Series Book 1),4.5,0,5.99,$5-$10,Parenting & Relationships,No Reviews,Kindle Unlimited,Yes,No,No
"Too Good to Leave, Too Bad to Stay: A Step-by-Step Guide to Help You Decide Whether to Stay In or Get Out of Your Relationship",4.5,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
This Is Me Letting You Go,4.6,0,6.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,4.8,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Kindle Unlimited,No,No,No
Dirty Laundry: Why Adults with ADHD Are So Ashamed and What We Can Do to Help,4.8,0,11.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
The American Girl: The Number One bestselling Irish historical fiction novel of heartbreaking secrets in a home for unwed mothers,4.3,0,2.99,Under $5,Parenting & Relationships,No Reviews,Paid,Yes,No,No
Made For Me: A friends to lovers sports romance. (Made For Series),4.5,0,4.99,Under $5,Parenting & Relationships,No Reviews,Kindle Unlimited,No,No,No
The Classic Fairy Tales (Second Edition) (Norton Critical Editions),4.6,0,12.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
How to Stay in Love: A Divorce Lawyer's Guide to Staying Together,4.5,0,11.99,$10-$15,Parenting & Relationships,No Reviews,Paid,Yes,No,No
"Touched Out: Motherhood, Misogyny, Consent, and Control",4.4,0,12.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
"NOT ""Just Friends"": Rebuilding Trust and Recovering Your Sanity After Infidelity",4.5,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
Prairie Fires: The American Dreams of Laura Ingalls Wilder,4.3,0,12.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,Yes,No
Rules of Estrangement: Why Adult Children Cut Ties and How to Heal the Conflict,4.5,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
The Book You Wish Your Parents Had Read: (And Your Children Will Be Glad That You Did),4.6,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,Yes,No
Should I Stay or Should I Go?: Surviving a Relationship with a Narcissist,4.7,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
Trauma and Recovery: The Aftermath of Violence--From Domestic Abuse to Political Terror,4.7,0,12.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,4.5,0,0.0,Free,Parenting & Relationships,No Reviews,Paid,No,No,No
Seven Husbands of Evelyn Hugo: The Sunday Times Bestseller,4.6,0,0.0,Free,Parenting & Relationships,No Reviews,Paid,No,Yes,No
Calypso,4.4,0,11.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,Yes,No
It. Goes. So. Fast.: The Year of No Do-Overs,4.3,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,Yes,No
How Y'all Doing?: Misadventures and Mischief from a Life Well Lived,4.7,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,Yes
Child Development and Education,4.5,0,74.99,Over $15,Parenting & Relationships,No Reviews,Paid,No,No,No
WHY MEN MARRY BITCHES: Expanded New Edition - A Guide for Women Who Are Too Nice,4.6,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
Your Brain's Not Broken: Strategies for Navigating Your Emotions and Life with ADHD,4.8,0,11.68,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
Final Call: The unputdownable must-read psychological crime thriller from the Top Ten Sunday Times bestselling author,4.3,0,6.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
"Taking Charge of Your Fertility: The Definitive Guide to Natural Birth Control, Pregnancy Achievement, and Reproductive Health",4.8,0,19.49,Over $15,Parenting & Relationships,No Reviews,Kindle Unlimited,Yes,No,No
For My Own Good: an immersive psychological thriller with a great twist,4.1,0,0.99,Under $5,Parenting & Relationships,No Reviews,Kindle Unlimited,No,No,No
My Grandmother's Hands: Racialized Trauma and the Pathway to Mending Our Hearts and Bodies,4.8,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
"You're Going to Make It: 50 Morning and Evening Devotions to Unrush Your Mind, Uncomplicate Your Heart, and Experience Healing Today",4.8,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
"Wild Game: My Mother, Her Secret, and Me",4.4,0,12.49,$10-$15,Parenting & Relationships,No Reviews,Kindle Unlimited,No,Yes,No
The Happiest Baby on the Block; Fully Revised and Updated Second Edition: The New Way to Calm Crying and Help Your Newborn Baby Sleep Longer,4.6,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
This Is How Your Marriage Ends: A Hopeful Approach to Saving Relationships,4.6,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
Moms on Call | Next Steps Baby Care 6-15 Months | Parenting Book 2 of 3 (Moms On Call Parenting Books),4.8,0,24.99,Over $15,Parenting & Relationships,No Reviews,Paid,No,No,No
The Game: Penetrating the Secret Society of Pickup Artists,4.4,0,1.99,Under $5,Parenting & Relationships,No Reviews,Paid,No,No,No
Homecoming: Reclaiming and Healing Your Inner Child,4.6,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
The Vaccine-Friendly Plan: Dr. Paul's Safe and Effective Approach to Immunity and Health-from Pregnancy Through Your Child's Teen Years,4.9,0,10.99,$10-$15,Parenting & Relationships,No Reviews,Paid,Yes,No,No
"School Social Work: Practice, Policy, and Research",4.0,0,61.49,Over $15,Parenting & Relationships,No Reviews,Paid,No,No,No
"The Montessori Baby: A Parent's Guide to Nurturing Your Baby with Love, Respect, and Understanding (The Parents' Guide to Montessori Book 2)",4.8,0,11.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
"A Serial Killer's Daughter: My Story of Faith, Love, and Overcoming",4.4,0,2.99,Under $5,Parenting & Relationships,No Reviews,Paid,No,No,No
Your Baby’s Bottle-feeding Aversion: Reasons and Solutions.,4.6,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
Nanny For My Daddy's Best Friend: An Enemies to Lovers Age Gap Romance,4.5,0,0.99,Under $5,Parenting & Relationships,No Reviews,Kindle Unlimited,No,No,No
Ruthless Crown: A Reverse Harem Romance (Ruthless Royals Book 1),4.2,0,4.99,Under $5,Parenting & Relationships,No Reviews,Kindle Unlimited,No,No,No
Potty Training in 3 Days: The Step-by-Step Plan for a Clean Break from Dirty Diapers,4.5,0,6.99,$5-$10,Parenting & Relationships,No Reviews,Kindle Unlimited,Yes,No,No
"1-2-3 Magic: Gentle 3-Step Child & Toddler Discipline for Calm, Effective, and Happy Parenting (Positive Parenting Guide for Raising Happy Kids)",4.6,0,8.45,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
"This Child of Mine: A completely heartbreaking and uplifting story of love, loss and hope for 2023",4.2,0,7.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
On Repentance And Repair: Making Amends in an Unapologetic World,4.8,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
On Becoming Babywise: Giving Your Infant the Gift of Nighttime Sleep - New Edition (On Becoming.),4.7,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
Will I Ever Be Good Enough?: Healing the Daughters of Narcissistic Mothers,4.7,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
"The Love Prescription: Seven Days to More Intimacy, Connection, and Joy (The Seven Days Series Book 1)",4.7,0,11.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition",4.6,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
There Was a Little Girl: The Real Story of My Mother and Me,4.1,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,Yes,No
Uniquely Human: A Different Way of Seeing Autism,4.8,0,11.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
What If?: The perfect laugh-out-loud romantic comedy from #1 bestseller Shari Low,4.3,0,2.99,Under $5,Parenting & Relationships,No Reviews,Kindle Unlimited,Yes,No,No
Doing Life with Your Adult Children: Keep Your Mouth Shut and the Welcome Mat Out,4.7,0,11.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
Fat Talk: Parenting in the Age of Diet Culture,4.5,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,Yes,No
NeuroTribes: The Legacy of Autism and the Future of Neurodiversity,4.7,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,Yes
"Permission to Feel: Unlocking the Power of Emotions to Help Our Kids, Ourselves, and Our Society Thrive",4.7,0,11.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
"Nanny for the Bossy Daddy: An Age Gap, Billionaire Boss Romance",4.6,0,0.99,Under $5,Parenting & Relationships,No Reviews,Kindle Unlimited,Yes,No,No
Was It Even Abuse?: Restoring clarity after covert abuse.,4.9,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
Does the Bible Support Same-Sex Marriage?: 21 Conversations from a Historically Christian View,4.8,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
White Fragility: Why It's So Hard for White People to Talk About Racism,4.5,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,Yes,No,No
"The Sleepover: The unputdownable, page-turning psychological thriller from bestseller Keri Beevis",4.3,0,1.99,Under $5,Parenting & Relationships,No Reviews,Kindle Unlimited,No,No,No
The Montessori Toddler: A Parent's Guide to Raising a Curious and Responsible Human Being (The Parents' Guide to Montessori Book 1),4.8,0,11.99,$10-$15,Parenting & Relationships,No Reviews,Paid,Yes,No,No
Anne Of Green Gables: Complete 8-Book Box Set,4.8,0,1.99,Under $5,Parenting & Relationships,No Reviews,Paid,Yes,No,No
Wired for Love: How Understanding Your Partner's Brain and Attachment Style Can Help You Defuse Conflict and Build a Secure Relationship,4.6,0,10.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
When Smiles Fade (Home Street Home Series Book 2),4.4,0,5.99,$5-$10,Parenting & Relationships,No Reviews,Kindle Unlimited,No,No,No
The Self-Driven Child: The Science and Sense of Giving Your Kids More Control Over Their Lives,4.7,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
"Ascend: A Marriage of Convenience, Single Mom, Friends to Lovers Romance (Elements of Rapture Book 2)",4.4,0,5.99,$5-$10,Parenting & Relationships,No Reviews,Kindle Unlimited,No,No,No
Swimming For Beginners: The emotional and uplifting new read of 2023,4.6,0,5.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
"Meals She Eats: Empowering Advice, Relatable Stories, and Over 25 Recipes to Take Control of Your PCOS",4.7,0,12.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
Finding Freedom: A Cook's Story; Remaking a Life from Scratch,4.6,0,2.99,Under $5,Parenting & Relationships,No Reviews,Paid,No,No,Yes
One Summer Sunrise: An uplifting escapist read from bestselling author Shari Low,4.4,0,2.99,Under $5,Parenting & Relationships,No Reviews,Kindle Unlimited,No,No,No
"The Perfect Father: The True Story of Chris Watts, His All-American Family, and a Shocking Murder",4.5,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Kindle Unlimited,No,No,No
Disarming the Narcissist: Surviving and Thriving with the Self-Absorbed,4.5,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
Stolen Focus: Why You Can't Pay Attention,4.5,0,0.0,Free,Parenting & Relationships,No Reviews,Paid,No,Yes,No
The Golden Oldies' Book Club: The feel-good novel from USA Today Bestseller Judy Leigh for 2023,4.2,0,2.99,Under $5,Parenting & Relationships,No Reviews,Kindle Unlimited,No,No,No
The Nosey Neighbor: The Ozarks Cozy Mystery Series,4.6,0,4.99,Under $5,Parenting & Relationships,No Reviews,Kindle Unlimited,Yes,No,No
Stop Caretaking the Borderline or Narcissist: How to End the Drama and Get On with Life,4.7,0,21.99,Over $15,Parenting & Relationships,No Reviews,Paid,No,No,No
Breaking Free of Child Anxiety and OCD: A Scientifically Proven Program for Parents,4.7,0,9.59,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
It's Not about the Wine: The Loaded Truth behind Mommy Wine Culture,4.8,0,17.99,Over $15,Parenting & Relationships,No Reviews,Paid,No,No,No
"Demystifying Disability: What to Know, What to Say, and How to Be an Ally",4.8,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
In Pieces,4.4,0,11.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,Yes,No
"The Masculine in Relationship: A Blueprint for Inspiring the Trust, Lust, and Devotion of a Strong Woman",4.7,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
"Beyond the Pill: A 30-Day Program to Balance Your Hormones, Reclaim Your Body, and Reverse the Dangerous Side Effects of the Birth Control Pill",4.7,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Kindle Unlimited,No,No,No
Lost Girls: The Unsolved American Mystery of the Gilgo Beach Serial Killer Murders,4.1,0,12.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,Yes,No
Win Your Breakup: How to Be The One That Got Away,4.8,0,6.49,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
Skinfolk: A Memoir,4.3,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
The Sober Diaries: How one woman stopped drinking and started living.,4.7,0,1.99,Under $5,Parenting & Relationships,No Reviews,Paid,No,Yes,No
"Boundary Boss: The Essential Guide to Talk True, Be Seen, and (Finally) Live Free",4.8,0,12.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
The Drama of the Gifted Child: The Search for the True Self,4.5,0,11.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
The Unplugged Alpha: The No Bullsh*t Guide To Winning With Women & Life,4.7,0,7.2,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
Parenting: 14 Gospel Principles That Can Radically Change Your Family,4.8,0,13.77,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
Beautiful Country: A Memoir of an Undocumented Childhood,4.4,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,Yes,No
Bettyville: A Memoir,4.1,0,12.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,Yes,No
Mean Little People (Home Street Home Series Book 4),4.5,0,5.99,$5-$10,Parenting & Relationships,No Reviews,Kindle Unlimited,No,No,No
I Am Not Sick I Don’t Need Help!: How to Help Someone Accept Treatment - 20th Anniversary Edition,4.8,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,No,No,No
